stn       Nom                                  Parameter        Source de données                                  Longitude/Latitude       Coordonnées [km] Altitude [m]
SAE       Säntis                               fkl010h0         MeteoSchweiz                                       9d21'/47d15'             744187/234920    2501
SAE       Säntis                               dkl010h0         MeteoSchweiz                                       9d21'/47d15'             744187/234920    2501
WFJ       Weissfluhjoch                        fkl010h1         MeteoSchweiz                                       9d48'/46d50'             780614/189634    2691
WFJ       Weissfluhjoch                        fkl010h0         MeteoSchweiz                                       9d48'/46d50'             780614/189634    2691
WFJ       Weissfluhjoch                        dkl010h0         MeteoSchweiz                                       9d48'/46d50'             780614/189634    2691
GSB       Col du Grand St-Bernard              fkl010h1         MeteoSchweiz                                       7d10'/45d52'             579192/79753     2472
GSB       Col du Grand St-Bernard              fkl010h0         MeteoSchweiz                                       7d10'/45d52'             579192/79753     2472
GSB       Col du Grand St-Bernard              dkl010h0         MeteoSchweiz                                       7d10'/45d52'             579192/79753     2472
MVE       Montana                              fkl010h1         MeteoSchweiz                                       7d28'/46d18'             601709/127488    1422
MVE       Montana                              fkl010h0         MeteoSchweiz                                       7d28'/46d18'             601709/127488    1422
MVE       Montana                              dkl010h0         MeteoSchweiz                                       7d28'/46d18'             601709/127488    1422
NAP       Napf                                 fkl010h1         MeteoSchweiz                                       7d56'/47d00'             638136/206078    1403
NAP       Napf                                 fkl010h0         MeteoSchweiz                                       7d56'/47d00'             638136/206078    1403
NAP       Napf                                 dkl010h0         MeteoSchweiz                                       7d56'/47d00'             638136/206078    1403
SBE       S. Bernardino                        fkl010h1         MeteoSchweiz                                       9d11'/46d28'             734115/147294    1638
SBE       S. Bernardino                        fkl010h0         MeteoSchweiz                                       9d11'/46d28'             734115/147294    1638
SBE       S. Bernardino                        dkl010h0         MeteoSchweiz                                       9d11'/46d28'             734115/147294    1638
ALT       Altdorf                              fkl010h1         MeteoSchweiz                                       8d37'/46d53'             690180/193564    437
ALT       Altdorf                              fkl010h0         MeteoSchweiz                                       8d37'/46d53'             690180/193564    437
ALT       Altdorf                              dkl010h0         MeteoSchweiz                                       8d37'/46d53'             690180/193564    437
CHU       Chur                                 fkl010h1         MeteoSchweiz                                       9d32'/46d52'             759465/193152    556
CHU       Chur                                 fkl010h0         MeteoSchweiz                                       9d32'/46d52'             759465/193152    556
CHU       Chur                                 dkl010h0         MeteoSchweiz                                       9d32'/46d52'             759465/193152    556
DIS       Disentis                             fkl010h1         MeteoSchweiz                                       8d51'/46d42'             708190/173793    1197
DIS       Disentis                             fkl010h0         MeteoSchweiz                                       8d51'/46d42'             708190/173793    1197
DIS       Disentis                             dkl010h0         MeteoSchweiz                                       8d51'/46d42'             708190/173793    1197
GLA       Glarus                               fkl010h1         MeteoSchweiz                                       9d04'/47d02'             723755/210567    516
GLA       Glarus                               fkl010h0         MeteoSchweiz                                       9d04'/47d02'             723755/210567    516
GLA       Glarus                               dkl010h0         MeteoSchweiz                                       9d04'/47d02'             723755/210567    516
INT       Interlaken                           fkl010h1         MeteoSchweiz                                       7d52'/46d40'             633023/169092    577
INT       Interlaken                           fkl010h0         MeteoSchweiz                                       7d52'/46d40'             633023/169092    577
INT       Interlaken                           dkl010h0         MeteoSchweiz                                       7d52'/46d40'             633023/169092    577
ROB       Poschiavo / Robbia                   fkl010h1         MeteoSchweiz                                       10d04'/46d21'            801992/136248    1078
ROB       Poschiavo / Robbia                   fkl010h0         MeteoSchweiz                                       10d04'/46d21'            801992/136248    1078
ROB       Poschiavo / Robbia                   dkl010h0         MeteoSchweiz                                       10d04'/46d21'            801992/136248    1078
SAM       Samedan                              fkl010h1         MeteoSchweiz                                       9d53'/46d32'             787249/155685    1708
SAM       Samedan                              fkl010h0         MeteoSchweiz                                       9d53'/46d32'             787249/155685    1708
SAM       Samedan                              dkl010h0         MeteoSchweiz                                       9d53'/46d32'             787249/155685    1708
SCU       Scuol                                fkl010h1         MeteoSchweiz                                       10d17'/46d48'            817137/186393    1303
SCU       Scuol                                fkl010h0         MeteoSchweiz                                       10d17'/46d48'            817137/186393    1303
SCU       Scuol                                dkl010h0         MeteoSchweiz                                       10d17'/46d48'            817137/186393    1303
SIO       Sion                                 fkl010h1         MeteoSchweiz                                       7d20'/46d13'             591633/118583    482
SIO       Sion                                 fkl010h0         MeteoSchweiz                                       7d20'/46d13'             591633/118583    482
SIO       Sion                                 dkl010h0         MeteoSchweiz                                       7d20'/46d13'             591633/118583    482
ULR       Ulrichen                             fkl010h1         MeteoSchweiz                                       8d18'/46d30'             666747/150767    1345
ULR       Ulrichen                             fkl010h0         MeteoSchweiz                                       8d18'/46d30'             666747/150767    1345
ULR       Ulrichen                             dkl010h0         MeteoSchweiz                                       8d18'/46d30'             666747/150767    1345
VAD       Vaduz                                fkl010h1         MeteoSchweiz                                       9d31'/47d08'             757722/221699    457
VAD       Vaduz                                fkl010h0         MeteoSchweiz                                       9d31'/47d08'             757722/221699    457
VAD       Vaduz                                dkl010h0         MeteoSchweiz                                       9d31'/47d08'             757722/221699    457
VIS       Visp                                 fkl010h1         MeteoSchweiz                                       7d51'/46d18'             631150/128024    639
VIS       Visp                                 fkl010h0         MeteoSchweiz                                       7d51'/46d18'             631150/128024    639
VIS       Visp                                 dkl010h0         MeteoSchweiz                                       7d51'/46d18'             631150/128024    639
ZER       Zermatt                              fkl010h1         MeteoSchweiz                                       7d45'/46d02'             624298/97574     1638
ZER       Zermatt                              fkl010h0         MeteoSchweiz                                       7d45'/46d02'             624298/97574     1638
